ifInOctets11_diff,ifOutOctets11_diff,ifInUcastPkts11_diff,ifOutUcastPkts11_diff,tcpOutRsts_diff,tcpInSegs_diff,tcpOutSegs_diff,tcpPassiveOpens_diff,tcpRetransSegs_diff,tcpCurrEstab_diff,tcpActiveOpens_diff,udpInDatagrams_diff,udpOutDatagrams_diff,udpNoPorts_diff,ipInReceives_diff,ipInDelivers_diff,ipOutRequests_diff,icmpInMsgs_diff,icmpOutMsgs_diff,icmpOutDestUnreachs_diff,icmpInEchos_diff,icmpOutEchoReps_diff,class
2897791,61405,2334,365,0,79,76,0,1,0,0,1199,242,0,1232,1232,291,0,0,0,0,0,normal
1298681,37473,1084,210,0,70,71,0,1,0,0,2181,329,0,2226,2226,379,0,0,0,0,0,normal
2905496,61932,2307,328,0,280,281,3,0,7,5,1220,219,0,2649,2649,757,0,0,0,0,0,normal
1606321,86727,1406,370,0,242,247,1,2,3,4,2481,431,0,1516,1516,367,0,0,0,0,0,normal
3184792,84170,2592,434,0,92,94,0,0,1,1,2730,441,0,2756,2756,503,0,0,0,0,0,normal
1658022,25563,1311,180,0,91,92,0,1,0,1,1234,232,0,1309,1309,305,0,0,0,0,0,normal
3073027,70820,2482,413,0,70,70,0,0,0,0,2507,427,0,2546,2546,468,0,0,0,0,0,normal
1554288,74186,2719,435,0,78,79,0,0,0,1,1445,258,0,1719,1719,377,0,0,0,0,0,normal
3602175,59913,1457,286,0,77,77,0,0,0,0,2920,478,0,2830,2830,466,0,0,0,0,0,normal
3239672,64649,2647,375,0,73,73,0,0,0,0,2478,390,0,2523,2523,443,0,0,0,0,0,normal
1595373,88525,2548,422,0,97,97,0,1,0,0,1305,259,0,1374,1374,340,0,0,0,0,0,normal
2988433,45211,1201,213,0,91,91,0,0,0,0,2417,395,0,2436,2436,468,0,0,0,0,0,normal
3264567,77860,2669,431,0,93,88,0,1,1,3,1556,290,0,1577,1577,341,0,0,0,0,0,normal
3414111,116262,2808,494,0,88,87,0,0,0,0,2762,505,0,2863,2863,561,0,0,0,0,0,normal
1757945,48294,1462,236,0,76,78,0,0,0,0,2237,339,0,2288,2288,387,0,0,0,0,0,normal
1148375,51628,968,189,0,93,95,0,1,0,0,258,142,0,314,314,214,0,0,0,0,0,normal
229786,42414,264,120,0,85,84,0,0,0,0,503,140,0,568,568,200,0,0,0,0,0,normal
558407,22374,496,116,0,97,101,0,0,-6,1,324,101,0,455,455,194,0,0,0,0,0,normal
205220,37671,240,116,0,75,78,0,0,0,0,430,138,0,421,421,183,0,0,0,0,0,normal
737806,38425,669,165,0,98,101,0,1,1,2,666,158,0,687,687,223,0,0,0,0,0,normal
329130,28030,298,79,0,69,72,0,0,0,0,371,148,0,418,418,193,0,0,0,0,0,normal
680723,60264,633,197,0,61,61,0,0,0,0,601,171,0,656,656,224,0,0,0,0,0,normal
337475,17207,587,145,0,76,76,0,0,0,0,337,117,0,376,376,161,0,0,0,0,0,normal
663668,46811,317,94,0,73,71,0,0,-1,0,610,174,0,650,650,213,0,0,0,0,0,normal
664971,47438,590,152,0,68,72,0,3,-4,0,624,139,0,625,625,189,0,0,0,0,0,normal
322544,15678,287,58,0,72,73,0,2,-1,0,400,117,0,401,401,171,0,0,0,0,0,normal
678002,42625,625,160,0,60,63,0,0,0,0,628,162,0,648,648,197,0,0,0,0,0,normal
352824,38767,584,155,0,74,76,0,0,0,1,326,142,0,381,381,204,0,0,0,0,0,normal
665775,40905,321,99,0,69,71,0,1,0,0,659,162,0,706,706,203,0,0,0,0,0,normal
641830,48498,585,162,0,72,70,0,0,0,0,271,131,0,316,316,175,0,0,0,0,0,normal
216516,12502,197,55,0,65,68,0,0,0,0,1333,235,0,1384,1384,288,0,0,0,0,0,normal
3401558,80726,2727,415,0,91,88,0,0,1,1,1636,286,0,2445,2445,428,0,0,0,0,0,normal
1497125,59488,2337,342,0,62,61,0,0,0,0,2352,339,0,1623,1623,282,0,0,0,0,0,normal
2941266,39829,1226,190,0,62,62,0,1,0,0,2199,354,0,2484,2484,423,0,0,0,0,0,normal
3193824,93175,2553,393,0,63,64,0,0,0,0,1664,290,0,1420,1420,297,0,0,0,0,0,normal
1472820,29202,1210,207,0,79,76,0,0,-2,0,2355,367,0,2400,2400,423,0,0,0,0,0,normal
3030768,73556,2435,345,0,68,67,0,0,0,0,1317,230,0,1366,1366,282,0,0,0,0,0,normal
1486874,54334,1226,233,0,88,89,0,0,0,1,2334,389,0,2388,2388,439,0,0,0,0,0,normal
2935982,52127,2318,355,0,70,69,0,1,0,0,1943,314,0,2475,2475,422,0,0,0,0,0,normal
1503232,41322,1228,182,0,62,62,0,1,0,0,2013,330,0,1565,1565,301,0,0,0,0,0,normal
3448441,75391,2761,425,0,108,115,0,1,3,3,2385,347,0,2472,2472,437,0,0,0,0,0,normal
1428519,31825,1144,170,0,70,70,0,0,0,0,1341,219,0,1387,1387,267,0,0,0,0,0,normal
3138210,62754,2498,368,0,68,70,0,0,0,0,2353,360,0,2398,2398,403,0,0,0,0,0,normal
2874396,67697,2352,372,0,89,89,0,0,0,0,1505,262,0,2375,2375,428,0,0,0,0,0,normal
1403145,20741,1106,318,0,66,64,0,0,0,0,1991,316,0,1334,1334,261,0,0,0,0,0,normal
3077519,96125,2499,251,0,129,128,0,3,3,3,2347,407,0,2451,2451,513,0,0,0,0,0,normal
2770960,73100,2289,392,0,73,72,0,0,0,0,1200,214,0,1198,1198,257,0,0,0,0,0,normal
1476239,26165,1180,171,0,80,81,0,0,0,1,2382,368,0,2436,2436,419,0,0,0,0,0,normal
3162702,71837,2518,382,0,79,81,0,3,0,0,1350,230,0,2462,2462,440,0,0,0,0,0,normal
3056715,55738,2434,379,0,83,84,0,1,0,1,2499,396,0,1469,1469,313,0,0,0,0,0,normal
1723552,46317,1422,231,0,76,77,0,1,0,0,2506,373,0,2505,2505,439,0,0,0,0,0,normal
2764653,64214,2235,353,0,69,69,0,0,0,0,1221,236,0,1231,1231,259,0,0,0,0,0,normal
1625161,49156,1317,227,0,72,72,0,1,0,0,2528,401,0,2588,2588,456,0,0,0,0,0,normal
3165622,54802,2510,348,0,81,78,0,0,-1,0,1371,256,0,2431,2431,429,0,0,0,0,0,normal
1395469,60263,1178,242,0,67,68,0,0,0,0,2276,374,0,1307,1307,289,0,0,0,0,0,normal
2993098,65515,2384,383,0,73,72,0,0,0,0,2348,379,0,2410,2410,438,0,0,0,0,0,normal
1412824,34493,1138,186,0,70,74,0,0,0,0,954,191,0,1000,1000,239,0,0,0,0,0,normal
1559325,45871,1281,216,0,81,81,0,0,0,1,734,150,0,686,686,192,0,0,0,0,0,normal
851518,59725,759,176,0,73,74,0,0,0,0,513,148,0,740,740,228,0,0,0,0,0,normal
241382,17132,230,69,0,70,70,0,0,0,0,560,167,0,428,428,186,0,0,0,0,0,normal
730198,59480,694,196,0,96,96,0,2,0,0,710,179,0,728,728,246,0,0,0,0,0,normal
682405,48027,616,157,0,90,97,0,0,-4,0,617,173,0,681,681,244,0,0,0,0,0,normal
675810,35936,585,150,0,85,88,0,0,0,0,742,231,0,799,799,286,0,0,0,0,0,normal
532880,56760,504,195,0,93,107,0,0,0,3,375,112,0,414,414,198,0,0,0,0,0,normal
688592,46790,620,143,0,78,79,0,0,-1,0,720,171,0,667,667,218,0,0,0,0,0,normal
697308,66179,654,221,0,115,130,0,2,0,3,601,162,0,700,700,270,0,0,0,0,0,normal
710447,64068,641,175,24,181,187,6,0,1,29,638,168,0,808,808,330,0,0,0,0,0,normal
790171,90531,754,262,1,1960,1947,6,3,12,7,659,209,0,1863,1863,1403,0,0,0,0,0,slowloris
338601,38794,327,106,0,92,93,0,0,0,0,341,118,0,383,383,158,0,0,0,0,0,normal
664994,26407,567,109,0,85,82,0,0,0,0,498,136,0,637,637,186,0,0,0,0,0,normal
365702,40193,334,102,0,122,122,0,0,1,1,448,136,0,420,420,182,0,0,0,0,0,normal
652293,120293,686,236,1,130,143,0,2,-1,1,669,151,0,726,726,264,0,0,0,0,0,normal
406854,32648,964,293,0,108,115,0,0,0,1,709,250,0,997,997,353,0,0,0,0,0,normal
1445744,204003,710,230,0,111,123,0,0,0,0,704,219,0,519,519,249,0,0,0,0,0,normal
343248,21248,301,71,0,73,75,0,0,-1,0,651,187,0,701,701,244,0,0,0,0,0,normal
696892,63122,651,190,0,77,78,0,0,0,1,614,157,0,656,656,201,0,0,0,0,0,normal
693314,31631,594,118,0,72,72,0,0,0,0,363,104,0,411,411,167,0,0,0,0,0,normal
393122,31435,389,143,0,92,93,0,2,1,1,673,181,0,727,727,243,0,0,0,0,0,normal
616503,41973,529,102,0,106,108,0,1,1,1,333,93,0,901,901,220,0,0,0,0,0,normal
769070,42797,675,144,0,74,74,0,2,0,0,2182,361,0,1672,1672,349,0,0,0,0,0,normal
3878330,70763,3060,445,0,66,67,0,1,0,0,2905,397,0,2952,2952,443,0,0,0,0,0,normal
1775467,47566,1422,218,0,79,80,0,0,-4,0,1391,298,0,1468,1468,373,0,0,0,0,0,normal
3164725,98959,2538,462,0,68,68,0,0,0,0,2422,441,0,2439,2439,462,0,0,0,0,0,normal
2951179,86480,2391,390,0,93,97,0,0,1,1,2374,377,0,2466,2466,472,0,0,0,0,0,normal
3108838,97727,2514,459,0,188,202,0,0,0,1,1301,249,0,1482,1482,428,0,0,0,0,0,normal
1604545,97731,2590,544,0,251,252,0,2,1,3,2384,386,0,2621,2621,615,0,0,0,0,0,normal
3295116,63622,1581,379,0,228,227,0,0,-1,0,2422,361,0,2555,2555,561,0,0,0,0,0,normal
3364103,57443,2788,521,0,240,236,0,0,-1,0,2616,392,0,2815,2815,593,0,0,0,0,0,normal
2289410,90029,1678,597,0,271,269,0,1,1,1,1341,278,0,2470,2470,646,0,0,0,0,0,normal
3788412,95267,3026,350,0,264,261,0,0,0,0,2418,400,0,1764,1764,527,0,0,0,0,0,normal
3332181,72655,2705,639,0,170,170,0,0,0,0,2342,343,0,2418,2418,422,0,0,0,0,0,normal
2963743,60747,2357,191,0,80,79,0,1,0,0,2372,372,0,2425,2425,419,0,0,0,0,0,normal
3006587,73005,2408,364,0,77,82,0,1,0,0,1261,221,0,1330,1330,288,0,0,0,0,0,normal
1407615,45656,1148,222,12,138,134,2,1,-10,11,2289,391,0,2394,2394,492,0,0,0,0,0,normal
2907496,67043,2325,368,28,97,103,0,1,0,29,2262,358,0,2306,2306,403,0,0,0,0,0,normal
2830624,77047,2298,374,1,219,222,7,0,13,8,2304,408,0,2414,2414,517,0,0,0,0,0,normal
2815683,88006,2295,395,0,74,75,0,1,-2,0,1223,235,0,1274,1274,287,0,0,0,0,0,normal
1477737,32569,2441,404,19,137,143,0,2,-13,17,2380,346,0,2486,2486,447,0,0,0,0,0,normal
3035914,101582,1203,210,4,39,41,0,1,-1,4,2321,365,0,2317,2317,395,0,0,0,0,0,normal
2900473,79183,2333,341,4,28,27,0,0,0,4,1301,234,0,2111,2111,331,0,0,0,0,0,normal
1469990,33597,1190,164,0,17,18,0,0,0,0,2405,362,0,1603,1603,297,0,0,0,0,0,normal
3148072,70521,2508,374,4,30,29,0,0,0,4,2764,416,0,2795,2795,440,0,0,0,0,0,normal
1864823,33929,2798,396,0,18,18,0,0,0,0,1405,248,0,2917,2917,471,0,0,0,0,0,normal
3622142,86575,2805,508,0,75,72,0,0,1,2,2751,458,0,1329,1329,327,0,0,0,0,0,normal
2960328,86825,1172,176,4,35,38,0,0,-1,4,2330,347,0,2341,2341,373,0,0,0,0,0,normal
2940908,49128,2348,322,0,21,19,0,1,0,0,2032,307,0,2480,2480,381,0,0,0,0,0,normal
3229472,102154,2630,421,0,81,96,0,0,0,0,1890,290,0,1475,1475,334,0,0,0,0,0,normal
1614697,53218,1318,332,0,127,126,0,0,0,0,2356,357,0,2527,2527,536,0,0,0,0,0,normal
3449173,59126,2922,541,0,228,221,0,0,0,0,2678,387,0,2853,2853,567,0,0,0,0,0,normal
1939312,54293,1446,490,0,186,185,0,0,0,0,1159,205,0,2416,2416,540,0,0,0,0,0,normal
3473105,96227,2824,596,0,233,233,0,0,0,0,2519,402,0,1703,1703,507,0,0,0,0,0,normal
3738003,88880,2975,306,4,224,220,0,0,0,4,2486,377,0,2712,2712,598,0,0,0,0,0,normal
3694562,85045,3023,548,0,129,132,0,0,0,2,2478,378,0,2666,2666,439,0,0,0,0,0,normal
3395944,61387,2696,369,0,17,18,0,0,0,0,1475,253,0,1493,1493,270,0,0,0,0,0,normal
1970831,51420,1577,246,0,22,25,0,1,0,0,2563,377,0,2596,2596,405,0,0,0,0,0,normal
2783521,46266,2193,299,0,24,19,0,1,0,0,1243,214,0,2471,2471,382,0,0,0,0,0,normal
1557921,40898,1264,200,0,24,23,0,0,0,0,2198,318,0,1007,1007,184,0,0,0,0,0,normal
1754073,61347,1445,257,0,24,25,0,0,0,0,793,253,0,818,818,275,0,0,0,0,0,normal
339991,41408,312,133,4,21,20,0,0,0,4,311,125,0,336,336,150,0,0,0,0,0,normal
481881,39988,451,130,0,32,34,0,0,0,0,413,131,0,442,442,156,0,0,0,0,0,normal
642841,45268,581,156,0,45,46,0,0,0,0,662,194,0,715,715,243,0,0,0,0,0,normal
690117,71681,653,224,0,173,188,4,1,8,7,424,144,0,693,693,260,0,0,0,0,0,normal
363695,80080,641,207,0,55,57,0,0,0,1,613,188,0,365,365,163,0,0,0,0,0,normal
645753,18157,289,62,0,42,39,0,0,0,0,332,116,0,350,350,128,0,0,0,0,0,normal
336743,34321,313,94,0,34,34,0,0,0,0,584,147,0,596,596,175,0,0,0,0,0,normal
656561,101840,618,215,0,73,82,0,0,1,1,353,163,0,518,518,307,0,0,0,0,0,normal
343859,35395,324,102,0,164,166,4,0,6,4,588,153,0,617,617,187,0,0,0,0,0,normal
313605,32037,576,130,0,75,75,0,0,0,0,349,115,0,400,400,166,0,0,0,0,0,normal
671124,23720,296,75,0,66,70,0,1,0,0,577,133,0,614,614,175,0,0,0,0,0,normal
335441,22067,284,76,0,56,57,0,0,0,0,327,120,0,359,359,154,0,0,0,0,0,normal
334135,35041,605,164,0,68,68,0,0,0,0,354,133,0,396,396,172,0,0,0,0,0,normal
648555,40181,289,50,0,57,57,0,0,0,0,624,125,0,612,612,164,0,0,0,0,0,normal
323664,19188,294,65,0,65,67,0,1,0,0,308,99,0,354,354,143,0,0,0,0,0,normal
650582,35173,613,146,0,83,86,0,0,0,1,460,111,0,635,635,202,0,0,0,0,0,normal
343094,39467,339,121,0,109,108,0,2,0,2,555,175,0,478,478,232,0,0,0,0,0,normal
651413,42508,559,126,0,53,54,0,1,0,0,303,95,0,337,337,128,0,0,0,0,0,normal
345301,24166,317,113,0,78,76,0,0,0,0,587,142,0,646,646,199,0,0,0,0,0,normal
671264,40483,590,109,0,58,60,0,0,0,0,374,108,0,380,380,144,0,0,0,0,0,normal
317507,14531,291,54,0,60,58,0,0,0,0,330,107,0,599,599,170,0,0,0,0,0,normal
330530,29913,300,168,0,64,65,0,0,0,0,654,166,0,404,404,179,0,0,0,0,0,normal
661706,44126,609,61,0,64,64,0,0,0,0,320,98,0,361,361,142,0,0,0,0,0,normal
318600,19464,271,62,0,71,69,0,1,0,0,569,141,0,616,616,183,0,0,0,0,0,normal
336308,32187,636,193,0,99,97,0,1,-3,1,368,152,0,447,447,222,0,0,0,0,0,normal
674466,68136,324,103,0,59,60,0,0,-1,0,573,142,0,611,611,180,0,0,0,0,0,normal
321699,17665,290,72,0,80,80,0,0,0,1,354,101,0,404,404,158,0,0,0,0,0,normal
376435,55940,361,214,0,69,68,0,0,0,0,389,173,0,446,446,228,0,0,0,0,0,normal
678534,45373,649,67,0,61,63,0,0,0,0,664,140,0,619,619,171,0,0,0,0,0,normal
341092,49456,292,85,0,68,68,0,0,0,0,470,202,0,468,468,251,0,0,0,0,0,normal
691295,89221,699,242,0,64,63,0,0,0,0,627,177,0,643,643,208,0,0,0,0,0,normal
336299,26523,293,73,0,63,63,0,1,0,0,320,101,0,351,351,141,0,0,0,0,0,normal
640616,27311,555,121,0,71,79,0,0,0,1,356,139,0,406,406,193,0,0,0,0,0,normal
336544,35801,336,127,0,52,56,0,2,0,0,596,156,0,633,633,207,0,0,0,0,0,normal
650005,45853,585,136,0,65,64,0,0,0,0,355,105,0,386,386,170,0,0,0,0,0,normal
346741,21670,329,90,0,109,103,0,1,2,2,580,134,0,631,631,177,0,0,0,0,0,normal
696271,79717,621,178,0,72,76,0,0,0,1,364,146,0,468,468,246,0,0,0,0,0,normal
397112,82950,431,219,1,251,254,0,0,2,3,552,131,0,765,765,326,0,0,0,0,0,normal
473233,69427,862,374,0,249,242,0,0,0,0,420,150,0,615,615,379,0,0,0,0,0,normal
1084324,32288,624,222,0,290,273,0,0,0,0,577,137,0,852,852,394,0,0,0,0,0,normal
1178266,73491,1043,406,0,340,317,0,2,-1,1,346,157,0,639,639,431,0,0,0,0,0,normal
912207,57070,972,387,0,270,268,0,0,0,0,619,183,0,849,849,410,0,0,0,0,0,normal
1133946,57952,735,196,0,147,141,0,1,0,0,316,102,0,409,409,190,0,0,0,0,0,normal
353413,33791,336,98,0,66,66,0,0,0,0,615,158,0,668,668,207,0,0,0,0,0,normal
702128,79427,606,163,0,85,88,0,4,1,2,378,161,0,671,671,247,0,0,0,0,0,normal
334010,41569,333,121,0,64,67,0,1,-1,0,589,172,0,391,391,185,0,0,0,0,0,normal
655652,72947,619,176,0,67,68,0,1,0,0,713,166,0,669,669,215,0,0,0,0,0,normal
635096,141619,1868,599,0,167,171,0,1,-2,5,1846,634,0,2005,2005,780,0,0,0,0,0,normal
2274949,166769,888,397,0,139,148,0,0,1,1,617,275,0,697,697,342,0,0,0,0,0,normal
418629,103293,700,260,0,101,109,0,0,0,0,619,220,0,680,680,280,0,0,0,0,0,normal
654618,16658,304,88,0,74,73,0,0,0,0,584,163,0,640,640,217,0,0,0,0,0,normal
662805,41571,593,202,0,73,73,0,0,0,0,359,187,0,409,409,237,0,0,0,0,0,normal
398630,45291,402,163,0,86,88,0,2,0,1,703,265,0,784,784,342,0,0,0,0,0,normal
716669,77653,708,253,0,78,83,0,0,-1,0,600,202,0,585,585,236,0,0,0,0,0,normal
620703,42528,586,190,0,90,93,0,0,0,1,479,150,0,573,573,238,0,0,0,0,0,normal
1379000,54455,1142,607,0,75,75,0,0,-1,0,2342,617,0,2308,2308,640,0,0,0,0,0,normal
2962815,90860,2419,223,0,88,93,0,0,-2,1,2274,455,0,2347,2347,533,0,0,0,0,0,normal
2601468,94859,2125,526,0,85,84,0,1,-1,0,2072,486,0,2188,2188,592,0,0,0,0,0,normal
1918558,72386,1594,353,24,268,275,11,0,7,32,604,173,0,669,669,243,0,0,0,0,0,normal
1212373,38697,1006,263,40,156,156,0,0,-14,36,2176,474,0,2250,2250,580,0,0,0,0,0,normal
2630527,90504,2161,499,24,92,97,0,0,0,24,1114,327,0,1097,1097,372,0,0,0,0,0,normal
1318590,54252,1103,342,12,80,94,0,0,1,15,2068,503,0,2141,2141,579,0,0,0,0,0,normal
2498089,119738,2061,477,0,92,98,2,1,4,3,1052,286,0,1107,1107,324,0,0,0,0,0,normal
1267847,93533,1107,394,0,167,144,3,0,7,4,2072,480,0,2234,2234,593,0,0,0,0,0,normal
2581940,89342,2109,417,30,103,102,1,0,-10,27,2000,512,0,2248,2248,607,0,0,0,0,0,normal
1458469,55566,1217,501,16,58,58,0,0,0,16,1704,362,0,2014,2014,448,0,0,0,0,0,normal
3823331,143645,3108,589,4,123,134,0,2,0,5,1607,444,0,2216,2216,663,0,0,0,0,0,normal
2781669,100314,2332,669,8,272,265,0,0,-1,8,2126,494,0,1403,1403,591,0,0,0,0,0,normal
1762786,77170,1517,513,1,251,241,0,0,-1,0,2116,533,0,2361,2361,773,0,0,0,0,0,normal
3188351,101987,2679,778,0,252,249,0,0,0,0,2074,586,0,2358,2358,869,0,0,0,0,0,normal
3103216,107300,2500,624,0,127,127,0,0,0,0,2193,496,0,2312,2312,552,0,0,0,0,0,normal
1358174,102208,2117,586,4,67,71,0,1,1,5,1125,352,0,1110,1110,393,0,0,0,0,0,normal
2485812,31776,1033,201,4,37,36,0,0,0,4,2077,417,0,2118,2118,457,0,0,0,0,0,normal
2623010,74610,2125,517,0,45,55,0,0,0,0,2068,485,0,2147,2147,570,0,0,0,0,0,normal
2698429,137468,2280,663,0,185,185,0,0,0,0,1241,389,0,1385,1385,565,0,0,0,0,0,normal
1676877,88265,1542,531,0,267,254,0,0,0,1,1983,418,0,2230,2230,667,0,0,0,0,0,normal
2938453,90624,2441,597,0,237,227,0,0,0,0,1709,386,0,1963,1963,637,0,0,0,0,0,normal
1617066,81267,1402,450,0,243,251,0,0,-1,1,547,211,0,788,788,460,0,0,0,0,0,normal
770612,46733,673,361,4,173,185,0,0,0,5,364,161,0,476,476,276,0,0,0,0,0,normal
577436,52514,571,96,4,29,27,0,0,0,4,558,186,0,591,591,211,0,0,0,0,0,normal
741233,60256,701,237,0,30,31,1,1,2,2,398,186,0,662,662,247,0,0,0,0,0,normal
664658,87240,656,245,0,90,92,2,0,4,2,727,266,0,472,472,260,0,0,0,0,0,normal
377998,62525,469,213,11,153,156,4,0,0,13,732,256,0,708,708,290,0,0,0,0,0,normal
641246,30532,567,151,0,35,35,0,0,0,0,378,166,0,401,401,191,0,0,0,0,0,normal
349002,96029,447,237,1,92,99,0,0,-3,2,687,264,0,770,770,328,0,0,0,0,0,normal
775294,166540,935,488,3,259,270,0,0,2,5,653,228,0,963,963,521,0,0,0,0,0,normal
658119,61011,601,297,4,270,253,0,0,0,4,396,191,0,925,925,480,0,0,0,0,0,normal
1103307,60509,1001,389,0,247,239,0,0,0,0,633,198,0,588,588,367,0,0,0,0,0,normal
1294523,59990,1171,409,0,272,267,0,0,0,0,652,202,0,919,919,485,0,0,0,0,0,normal
1495081,66160,1299,435,0,221,217,0,0,0,0,678,230,0,810,810,396,0,0,0,0,0,normal
735967,82223,724,281,0,43,53,0,2,0,0,374,156,0,657,657,251,0,0,0,0,0,normal
329020,44590,367,170,0,83,93,3,0,4,4,645,240,0,432,432,233,0,0,0,0,0,normal
674064,87179,665,268,0,61,70,0,0,-1,0,650,236,0,685,685,271,0,0,0,0,0,normal
340118,31972,667,258,22,139,150,0,0,-6,21,617,202,0,983,983,539,0,0,0,0,0,normal
2744088,203906,2167,946,4,872,824,0,0,1,5,377,171,0,996,996,742,0,0,0,0,0,normal
634123,62030,890,293,4,69,73,0,0,0,4,733,211,0,712,712,271,0,0,0,0,0,normal
686993,41195,423,159,0,52,64,0,0,0,1,713,227,0,725,725,312,0,0,0,0,0,normal
731810,142724,731,332,4,114,109,2,1,4,7,692,299,0,722,722,318,0,0,0,0,0,normal
373226,84131,397,192,0,72,71,0,0,1,1,399,191,0,442,442,228,0,0,0,0,0,normal
658667,53743,631,218,0,42,41,0,0,-2,0,629,220,0,663,663,248,0,0,0,0,0,normal
334069,20124,334,115,12,80,78,1,0,-5,11,353,155,0,413,413,197,0,0,0,0,0,normal
661928,87989,652,226,12,82,88,0,0,0,12,615,191,0,658,658,231,0,0,0,0,0,normal
336618,23155,301,101,4,32,32,0,0,0,4,361,161,0,406,406,202,0,0,0,0,0,normal
652026,37186,609,179,0,39,39,0,0,0,1,439,144,0,398,398,164,0,0,0,0,0,normal
344826,39822,398,156,4,40,43,0,2,0,4,592,168,0,632,632,216,0,0,0,0,0,normal
647055,34282,572,162,0,26,26,0,1,0,0,386,188,0,406,406,208,0,0,0,0,0,normal
342433,38800,367,154,0,23,22,0,0,0,0,593,193,0,617,617,214,0,0,0,0,0,normal
647074,49133,597,204,0,18,17,0,0,0,0,381,182,0,402,402,199,0,0,0,0,0,normal
347138,44004,383,166,0,60,57,0,0,2,2,360,147,0,623,623,239,0,0,0,0,0,normal
319503,25276,322,120,8,56,56,0,1,0,8,607,189,0,455,455,198,0,0,0,0,0,normal
681342,50059,657,217,0,44,45,0,0,0,1,354,146,0,409,409,198,0,0,0,0,0,normal
323362,29670,327,124,0,25,24,0,0,0,0,611,204,0,630,630,218,0,0,0,0,0,normal
340998,31267,738,224,0,23,24,0,0,0,0,552,167,0,479,479,189,0,0,0,0,0,normal
694025,86510,344,161,0,200,201,0,0,0,0,596,200,0,901,901,527,0,0,0,0,0,normal
1329510,90987,2273,996,0,758,731,0,0,0,2,337,171,0,1087,1087,898,0,0,0,0,0,normal
2049483,103633,729,296,0,175,172,0,1,0,0,529,196,0,607,607,261,0,0,0,0,0,normal
597316,65869,678,318,0,112,112,1,3,2,2,541,217,0,601,601,279,0,0,0,0,0,normal
556915,66132,489,156,0,247,251,7,1,15,9,344,175,0,674,674,337,0,0,0,0,0,normal
296113,45959,335,163,0,84,85,0,1,-1,0,547,229,0,395,395,251,0,0,0,0,0,normal
