ifInOctets11_diff,ifOutOctets11_diff,ifOutDiscards11_diff,ifInUcastPkts11_diff,ifInNUcastPkts11_diff,ifInDiscards11_diff,ifOutUcastPkts11_diff,ifOutNUcastPkts11_diff,tcpOutRsts_diff,tcpInSegs_diff,tcpOutSegs_diff,tcpPassiveOpens_diff,tcpRetransSegs_diff,tcpCurrEstab_diff,tcpEstabResets_diff,tcpActiveOpens_diff,udpInDatagrams_diff,udpOutDatagrams_diff,udpInErrors_diff,udpNoPorts_diff,ipInReceives_diff,ipInDelivers_diff,ipOutRequests_diff,ipOutDiscards_diff,ipInDiscards_diff,ipForwDatagrams_diff,ipOutNoRoutes_diff,ipInAddrErrors_diff,icmpInMsgs_diff,icmpInDestUnreachs_diff,icmpOutMsgs_diff,icmpOutDestUnreachs_diff,icmpInEchos_diff,icmpOutEchoReps_diff,class
9995,15803,0,48,0,0,55,0,0,26,26,0,2,-1,1,0,87,86,0,0,97,97,101,0,0,0,0,0,0,0,0,0,0,0,slowloris
15762,20028,0,59,0,0,56,0,187096,374213,187117,0,0,0,0,0,106,104,0,0,796709,796708,398416,0,0,0,0,0,0,0,0,0,0,0,tcp-syn
10089,12434,0,38,0,0,37,0,1442914,2885847,1442936,0,0,0,0,0,110,110,0,0,2961645,2961646,1480893,0,0,0,0,0,0,0,0,0,0,0,tcp-syn
508577,90291,0,1040,0,0,301,0,1344882,2689822,1344946,0,0,1,0,1,1307,388,0,1,2683412,2683412,1341505,0,0,0,0,0,0,0,1,0,0,0,tcp-syn
294472,60187,0,1041,0,0,212,0,1355071,2710183,1355114,0,0,0,0,0,1237,368,0,0,2725062,2725061,1362375,0,0,0,0,0,0,0,0,0,0,0,tcp-syn
309938,186192,0,1033,0,0,612,0,1382668,2765385,1382718,0,0,0,0,1,937,506,0,0,2714967,2714967,1357548,0,0,0,0,0,0,0,0,0,0,0,tcp-syn
246503,92754,0,836,0,0,294,0,1380555,2761143,1380588,0,0,0,0,0,954,423,0,0,2807924,2807925,1403935,0,0,0,0,0,0,0,0,0,0,0,tcp-syn
187091,158276,0,639,0,0,607,0,1379026,2758071,1379047,0,0,0,0,0,834,517,0,0,2763701,2763701,1381964,0,0,0,0,0,0,0,0,0,0,0,tcp-syn
246011,159982,0,858,0,0,393,0,1404933,2809886,1404956,0,0,-1,0,0,639,485,0,0,2784044,2784043,1392198,0,0,0,0,0,0,0,0,0,0,0,tcp-syn
152237,157079,0,501,0,0,489,0,1386538,2773109,1386572,0,0,0,0,0,563,567,0,0,2752268,2752269,1376435,0,0,0,0,0,0,0,0,0,0,0,tcp-syn
164142,160893,0,489,0,0,485,0,1386691,2773402,1386712,0,0,0,0,0,655,552,0,0,2834127,2834127,1417279,0,0,0,0,0,0,0,0,0,0,0,tcp-syn
329310,110646,0,1007,0,0,394,0,1326221,2652482,1326265,0,0,-1,0,0,1035,291,0,0,2137874,2137874,1068723,0,0,0,0,0,0,0,0,0,0,0,tcp-syn
251531,90199,0,820,0,0,319,0,0,38,40,0,0,0,0,0,935,425,0,449851,1042549,1042548,521293,0,0,0,0,0,653969,653969,653970,0,0,0,udp-flood
215687,161812,0,714,0,0,477,0,0,31,32,0,0,0,0,1,686,580,0,1271144,2540330,2540331,1270414,0,0,0,0,0,1273571,1273571,1273570,0,0,0,udp-flood
191729,141721,0,783,0,0,584,0,0,35,36,0,0,0,0,0,745,430,0,801829,1465217,1465217,732672,0,0,0,0,0,595284,595284,595284,0,0,0,udp-flood
232471,152510,0,598,0,0,368,0,0,30,31,0,0,0,0,0,559,524,0,0,581,581,538,0,0,0,0,0,0,0,0,0,0,0,slowloris
50306,45466,0,128,0,0,117,0,0,40,53,0,0,0,0,2,202,130,0,0,143,143,133,0,0,0,0,0,0,0,0,0,0,0,slowloris
5083,4219,0,35,0,0,32,0,0,23,25,0,0,0,0,0,100,73,0,0,96,96,96,0,0,0,0,0,0,0,0,0,0,0,slowloris
4878,6759,0,38,0,0,33,0,0,10,12,0,0,0,0,0,105,93,0,0,101,101,109,0,0,0,0,0,0,0,0,0,0,0,slowloris
100052,71241,0,195,0,0,168,0,0,43,50,0,0,0,1,2,186,164,0,0,232,232,229,0,0,0,0,0,0,0,0,0,0,0,normal
23128,27708,0,104,0,0,92,0,0,93,104,0,1,-1,0,2,149,92,0,0,148,148,154,0,0,0,0,0,0,0,0,0,0,0,normal
7569,9952,0,50,0,0,47,0,0,25,28,0,1,0,0,0,86,73,0,0,95,95,94,0,0,0,0,0,0,0,0,0,0,0,normal
9348,7913,0,34,0,0,26,0,0,19,20,0,0,0,0,0,119,79,0,0,380579,380578,190340,0,0,0,0,0,0,0,0,0,0,0,normal
16768,20392,0,71,0,0,56,0,1229391,2458802,1229411,0,2,0,0,0,190,98,0,0,2570098,2570099,1285099,0,0,0,0,0,0,0,0,0,0,0,tcp-syn
11464,13053,0,60,0,0,48,0,1251979,2503985,1252004,0,0,-1,1,0,134,121,0,0,2522434,2522434,1261289,0,0,0,0,0,0,0,0,0,0,0,tcp-syn
23402,28922,0,79,0,0,73,0,1243460,2486938,1243480,0,0,-2,2,0,154,92,0,0,1977043,1977043,988579,0,0,0,0,0,0,0,0,0,0,0,tcp-syn
6450,5941,0,30,0,0,34,0,0,27,28,0,0,0,0,0,72,72,0,0,98,98,97,0,0,0,0,0,0,0,0,0,0,0,normal
16451,18899,0,49,0,0,44,0,0,34,36,0,1,0,0,1,191,82,0,650909,1451309,1451309,725708,0,0,0,0,0,880729,880730,880730,0,0,0,udp-flood
13067,6541,0,71,0,0,33,0,0,26,26,0,1,-2,1,0,132,80,0,1172134,2343792,2343791,1171950,0,0,0,0,0,1169109,1169108,1169108,0,0,0,udp-flood
7355,9969,0,47,0,0,38,0,0,15,17,0,0,0,0,0,83,83,0,650061,1151442,1151443,575772,0,0,0,0,0,423266,423266,423266,0,0,0,udp-flood
29008,41520,0,84,0,0,87,0,0,46,53,0,1,0,0,1,118,118,0,0,158,158,161,0,0,0,0,0,0,0,0,0,0,0,normal
7629,13059,0,31,0,0,28,0,0,17,19,0,0,0,0,0,102,74,0,0,92,92,92,0,0,0,0,0,0,0,0,0,0,0,normal
2788,6068,0,23,0,0,27,0,0,17,17,0,8,0,0,0,73,71,0,0,91,91,97,0,0,0,0,0,0,0,0,0,0,0,normal
3142,8544,0,26,0,0,32,0,0,13,14,0,0,0,0,0,77,81,0,0,88,88,95,0,0,0,0,0,0,0,0,0,0,0,normal
5544,13462,0,31,0,0,35,0,0,19,20,0,1,0,0,0,90,88,0,0,109,109,108,0,0,0,0,0,0,0,0,0,0,0,normal
24587,24569,0,78,0,0,73,0,0,40,41,0,0,0,0,1,101,90,0,0,141,141,131,0,0,0,0,0,0,0,0,0,0,0,normal
11336,11792,0,54,0,0,44,0,0,20,21,0,0,0,0,1,108,91,0,0,103,103,104,0,0,0,0,0,0,0,0,0,0,0,normal
12497,18751,0,39,0,0,53,0,0,10,11,0,0,0,0,0,110,109,0,0,123,123,121,0,0,0,0,0,0,0,0,0,0,0,normal
8090,6689,0,25,0,0,22,0,0,21,22,0,1,0,0,0,69,69,0,0,91,91,92,0,0,0,0,0,0,0,0,0,0,0,normal
7718,5182,0,50,0,0,11,0,0,10,10,0,0,0,0,0,174,69,0,0,87,87,75,0,0,0,0,0,0,0,0,0,0,0,normal
2721,3231,0,23,0,0,10,0,0,8182,8178,907,5,1814,0,908,78,68,0,0,10070,10070,10069,0,0,0,0,0,0,0,0,0,0,0,slowloris
2403,11588,0,44,0,0,39,0,0,1841,1840,0,4,0,0,1,95,82,0,0,110,110,108,0,0,0,0,0,0,0,0,0,0,0,slowloris
7735,3845,0,20,0,0,16,0,270,4699,4699,113,0,-439,270,113,68,68,0,0,4777,4777,4776,0,0,0,0,0,0,0,0,0,0,0,slowloris
51856,54385,0,95,0,0,92,0,125,3972,3974,270,1,415,125,271,146,142,0,0,4096,4096,4106,0,0,0,0,0,0,0,0,0,0,0,slowloris
19761,25672,0,69,0,0,76,0,253,4488,4490,125,0,-328,253,125,109,99,0,0,4884,4884,4889,0,0,0,0,0,0,0,0,0,0,0,slowloris
5523,7149,0,36,0,0,37,0,147,4137,4138,253,1,284,147,253,77,77,0,0,3914,3914,3915,0,0,0,0,0,0,0,0,0,0,0,slowloris
3454,6564,0,26,0,0,30,0,0,863,866,0,1,-250,0,0,77,73,0,0,4416,4416,4419,0,0,0,0,0,0,0,0,0,0,0,normal
3330,4269,0,21,0,0,20,0,250,4095,4097,147,0,-106,250,147,70,69,0,0,4460,4460,4460,0,0,0,0,0,0,0,0,0,0,0,slowloris
3709,4164,0,25,0,0,19,0,150,3797,3797,249,0,347,151,249,155,71,0,0,100,100,85,0,0,0,0,0,0,0,0,0,0,0,slowloris
6913,3862,0,31,0,0,10,0,0,4699,4697,150,1,-100,0,150,135,96,0,0,4795,4795,4793,0,0,0,0,0,0,0,0,0,0,0,slowloris
24776,30948,0,78,0,0,71,0,400,2046,2048,0,0,-400,400,0,124,112,0,0,2165,2165,2163,0,0,0,0,0,0,0,0,0,0,0,slowloris
11723,16278,0,42,0,0,34,0,0,6459,6459,400,1,400,0,400,82,79,0,0,6540,6540,6537,0,0,0,0,0,0,0,0,0,0,0,slowloris
13668,10420,0,60,0,0,53,0,400,2073,2075,0,0,-400,400,1,77,77,0,0,2147,2147,2147,0,0,0,0,0,0,0,0,0,0,0,slowloris
4763,4061,0,31,0,0,18,0,0,6457,6456,400,1,400,0,400,112,68,0,0,6529,6529,6524,0,0,0,0,0,0,0,0,0,0,0,slowloris
1867,4691,0,21,0,0,16,0,0,19,20,0,1,0,0,0,94,72,0,0,2133,2133,2131,0,0,0,0,0,0,0,0,0,0,0,normal
45576,52549,0,76,0,0,71,0,400,2049,2050,0,0,-400,400,0,118,117,0,0,4008,4008,4007,0,0,0,0,0,0,0,0,0,0,0,slowloris
2374,3678,0,16,0,0,16,0,0,6455,6455,400,2,400,0,400,69,69,0,0,2646,2646,2646,0,0,0,0,0,0,0,0,0,0,0,slowloris
13397,17051,0,63,0,0,49,0,400,2054,2056,0,0,-400,400,0,122,98,0,0,2166,2166,2160,0,0,0,0,0,0,0,0,0,0,0,slowloris
3949,4693,0,24,0,0,23,0,0,6462,6460,400,1,400,0,400,95,77,0,0,6530,6530,6528,0,0,0,0,0,0,0,0,0,0,0,slowloris
2820,6717,0,20,0,0,30,0,400,2051,2051,0,0,-400,400,0,80,82,0,0,2126,2126,2135,0,0,0,0,0,0,0,0,0,0,0,slowloris
5269,4878,0,30,0,0,24,0,0,6470,6470,400,1,400,0,401,141,77,0,0,6556,6556,6548,0,0,0,0,0,0,0,0,0,0,0,slowloris
15795,9136,0,66,0,0,39,0,1019,2512,2511,0,0,-1638,1018,0,120,78,0,0,2587,2587,2589,0,0,0,0,0,0,0,0,0,0,0,slowloris
1895,6522,0,16,0,0,26,0,0,11,11,0,1,0,0,0,83,81,0,0,1474130,1474130,737109,0,0,0,0,0,1739530,0,1739531,869766,869765,869765,icmp-echo
2882,4850,0,22,0,0,36,0,0,19,21,0,0,0,0,0,71,83,0,0,1224191,1224191,612155,0,0,0,0,0,958616,0,958615,479307,479308,479308,icmp-echo
57279,82456,0,144,0,0,172,0,0,46,49,0,3,2,0,2,242,250,0,0,286,286,309,0,0,0,0,0,0,0,0,0,0,0,normal
58828,47733,0,156,0,0,134,0,0,43,41,0,2,1,0,1,130,134,0,0,167,167,165,0,0,0,0,0,0,0,0,0,0,0,normal
16302,11772,0,90,0,0,69,0,0,36,47,0,0,0,0,0,101,89,0,0,196,196,142,0,0,0,0,0,0,0,0,0,0,0,normal
126582,109633,0,277,0,0,208,0,0,155,126,0,2,1,0,1,120,118,0,0,205,205,190,0,0,0,0,0,0,0,0,0,0,0,normal
708306,48724,0,638,0,0,194,0,0,61,71,0,1,5,0,6,709,241,0,0,774,774,311,0,0,0,0,0,0,0,0,0,0,0,normal
70987,26784,0,110,0,0,95,0,0,25,25,0,1,-1,0,0,93,96,0,0,127,127,130,0,0,0,0,0,0,0,0,0,0,0,normal
17768,20588,0,63,0,0,59,0,0,25,28,0,0,0,0,0,159,112,0,0,124,124,124,0,0,0,0,0,0,0,0,0,0,0,normal
147772,90237,0,263,0,0,252,0,0,128,105,0,1,1,0,2,289,235,0,0,459,459,343,0,0,0,0,0,0,0,0,0,0,0,normal
10824,19524,0,77,0,0,76,0,104,1979552,1979238,186306,319,19,0,186360,107,103,0,0,129,129,132,0,0,0,0,0,0,0,0,0,0,0,httpFlood
6582,9714,0,48,0,0,45,0,87,1963741,1963691,183933,51,-445,0,183919,82,85,0,0,119,119,125,0,0,0,0,0,0,0,0,0,0,0,httpFlood
22071,42423,0,115,0,0,121,0,80,1924039,1924016,177662,35,-139,0,177729,130,129,0,0,191,191,192,0,0,0,0,0,0,0,0,0,0,0,httpFlood
25229,39178,0,89,0,0,90,0,135,1988543,1988248,185435,304,124,0,185652,156,128,0,0,161,161,170,0,0,0,0,0,0,0,0,0,0,0,httpFlood
12951,30251,0,82,0,0,76,0,92,1991073,1990803,185710,275,-132,0,185476,94,85,0,0,118,118,117,0,0,0,0,0,0,0,0,0,0,0,httpFlood
3715,4416,0,45,0,0,38,0,86,2028148,2027962,188856,185,-6,0,189005,114,103,0,0,129,129,127,0,0,0,0,0,0,0,0,0,0,0,httpFlood
25717,33279,0,117,0,0,120,0,79,1929386,1929199,178860,197,173,0,178698,130,116,0,0,159,159,173,0,0,0,0,0,0,0,0,0,0,0,httpFlood
